VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2023-01-31 04:17:45,2023-01-31 04:35:12,1.0,5.3,1.0,N,48,179,2,24.0,1.0,0.5,0.0,0.0,1.0,29.0,2.5,0.0
2,2023-01-20 16:41:51,2023-01-20 17:16:57,4.0,3.78,1.0,N,114,40,1,29.6,2.5,0.5,7.22,0.0,1.0,43.32,2.5,0.0
2,2023-01-21 15:15:52,2023-01-21 15:24:34,3.0,1.59,1.0,N,161,237,2,10.7,0.0,0.5,0.0,0.0,1.0,14.7,2.5,0.0
2,2023-01-09 07:44:05,2023-01-09 08:01:09,1.0,3.08,1.0,N,116,243,1,18.4,0.0,0.5,3.98,0.0,1.0,23.88,0.0,0.0
1,2023-01-26 18:17:52,2023-01-26 18:22:53,1.0,0.5,1.0,N,90,68,2,6.5,2.5,0.5,0.0,0.0,1.0,10.5,2.5,0.0
2,2023-01-13 13:35:23,2023-01-13 13:44:01,1.0,1.52,1.0,N,239,141,2,10.7,0.0,0.5,0.0,0.0,1.0,14.7,2.5,0.0
2,2023-01-02 22:15:32,2023-01-02 22:23:46,1.0,1.51,1.0,N,249,246,1,10.7,1.0,0.5,1.25,0.0,1.0,16.95,2.5,0.0
2,2023-01-31 15:52:04,2023-01-31 16:05:45,1.0,1.51,1.0,N,237,143,1,13.5,0.0,0.5,3.5,0.0,1.0,21.0,2.5,0.0
1,2023-01-04 13:29:18,2023-01-04 13:41:41,2.0,0.8,1.0,N,162,230,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0
2,2023-01-28 16:01:21,2023-01-28 16:05:40,6.0,0.92,1.0,N,162,141,1,6.5,0.0,0.5,2.62,0.0,1.0,13.12,2.5,0.0
1,2023-01-06 09:22:41,2023-01-06 09:28:21,1.0,1.1,1.0,N,75,74,2,7.9,0.0,0.5,0.0,0.0,1.0,9.4,0.0,0.0
1,2023-01-19 11:43:28,2023-01-19 12:16:27,1.0,2.8,1.0,N,264,162,1,21.9,2.5,0.5,5.18,0.0,1.0,31.08,2.5,0.0
2,2023-01-11 23:34:11,2023-01-11 23:40:39,4.0,1.88,1.0,N,48,68,1,10.0,1.0,0.5,5.0,0.0,1.0,20.0,2.5,0.0
2,2023-01-16 09:04:01,2023-01-16 09:06:14,1.0,0.26,1.0,N,157,157,1,4.4,0.0,0.5,4.0,0.0,1.0,9.9,0.0,0.0
2,2023-01-06 20:32:58,2023-01-06 20:41:26,1.0,0.73,1.0,N,230,48,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0
2,2023-01-05 13:11:55,2023-01-05 14:09:49,2.0,16.68,2.0,N,161,132,2,70.0,0.0,0.5,0.0,6.55,1.0,80.55,2.5,0.0
2,2023-01-14 07:41:37,2023-01-14 08:01:12,1.0,10.47,1.0,N,230,138,1,41.5,5.0,0.5,11.66,6.55,1.0,69.96,2.5,1.25
2,2023-01-13 17:25:43,2023-01-13 17:37:44,1.0,1.79,1.0,N,170,237,1,12.8,2.5,0.5,3.86,0.0,1.0,23.16,2.5,0.0
1,2023-01-19 14:29:06,2023-01-19 14:46:32,1.0,1.9,1.0,N,161,236,1,14.2,2.5,0.5,3.6,0.0,1.0,21.8,2.5,0.0
2,2023-01-02 14:18:01,2023-01-02 14:27:55,1.0,1.91,1.0,N,236,142,2,12.1,0.0,0.5,0.0,0.0,1.0,16.1,2.5,0.0
1,2023-01-03 09:45:57,2023-01-03 09:58:42,1.0,0.5,99.0,N,26,26,1,15.5,0.0,0.5,0.0,0.0,1.0,17.0,0.0,0.0
2,2023-01-13 10:07:35,2023-01-13 10:12:09,1.0,0.64,1.0,N,107,164,1,6.5,0.0,0.5,2.1,0.0,1.0,12.6,2.5,0.0
2,2023-01-10 16:15:59,2023-01-10 16:29:21,1.0,2.6,1.0,N,158,209,1,15.6,2.5,0.5,4.42,0.0,1.0,26.52,2.5,0.0
2,2023-01-05 20:12:36,2023-01-05 20:33:35,4.0,4.06,1.0,N,68,166,1,22.6,1.0,0.5,4.14,0.0,1.0,31.74,2.5,0.0
2,2023-01-06 14:46:36,2023-01-06 15:17:55,1.0,3.67,1.0,N,186,239,1,27.5,0.0,0.5,1.58,0.0,1.0,33.08,2.5,0.0
1,2023-01-05 13:29:01,2023-01-05 13:53:00,1.0,3.7,99.0,N,181,114,1,17.2,0.0,0.5,0.0,0.0,1.0,18.7,0.0,0.0
2,2023-01-27 19:04:36,2023-01-27 19:17:15,1.0,1.85,1.0,N,164,249,1,13.5,2.5,0.5,4.0,0.0,1.0,24.0,2.5,0.0
2,2023-01-02 21:35:18,2023-01-02 21:43:10,1.0,0.93,1.0,N,161,186,1,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0
2,2023-01-31 16:30:23,2023-01-31 16:52:19,1.0,2.15,1.0,N,143,229,1,19.8,2.5,0.5,5.26,0.0,1.0,31.56,2.5,0.0
2,2023-01-20 18:04:38,2023-01-20 18:29:03,1.0,3.78,1.0,N,163,125,1,24.0,2.5,0.5,5.18,0.0,1.0,35.68,2.5,0.0
1,2023-01-28 19:06:40,2023-01-28 19:21:11,2.0,3.3,1.0,N,262,170,1,17.0,2.5,0.5,4.2,0.0,1.0,25.2,2.5,0.0
2,2023-01-17 07:13:09,2023-01-17 07:20:22,2.0,0.79,1.0,N,140,140,1,8.6,0.0,0.5,2.0,0.0,1.0,14.6,2.5,0.0
2,2023-01-31 09:39:56,2023-01-31 09:47:50,1.0,0.59,1.0,N,170,229,1,8.6,0.0,0.5,2.0,0.0,1.0,14.6,2.5,0.0
2,2023-01-10 15:34:49,2023-01-10 15:43:43,1.0,1.01,1.0,N,161,142,1,9.3,0.0,0.5,0.66,0.0,1.0,13.96,2.5,0.0
2,2023-01-19 12:47:54,2023-01-19 13:03:41,1.0,2.25,1.0,N,262,143,1,15.6,0.0,0.5,3.92,0.0,1.0,23.52,2.5,0.0
2,2023-01-11 21:59:05,2023-01-11 22:03:38,1.0,0.52,1.0,N,237,141,1,6.5,1.0,0.5,3.45,0.0,1.0,14.95,2.5,0.0
2,2023-01-12 09:25:40,2023-01-12 09:50:54,1.0,7.09,1.0,N,161,13,1,34.5,0.0,0.5,9.62,0.0,1.0,48.12,2.5,0.0
2,2023-01-30 19:28:33,2023-01-30 19:31:45,1.0,0.66,1.0,N,68,90,1,5.8,2.5,0.5,1.5,0.0,1.0,13.8,2.5,0.0
2,2023-01-11 16:50:57,2023-01-11 17:01:37,1.0,1.46,1.0,N,88,45,1,11.4,2.5,0.5,3.58,0.0,1.0,21.48,2.5,0.0
2,2023-01-17 22:35:13,2023-01-17 22:44:29,1.0,2.14,1.0,N,230,238,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0
1,2023-01-23 11:55:54,2023-01-23 12:08:00,1.0,1.4,1.0,N,143,237,1,11.4,2.5,0.5,3.1,0.0,1.0,18.5,2.5,0.0
1,2023-01-01 02:49:33,2023-01-01 03:19:06,3.0,5.8,1.0,N,249,61,1,28.9,3.5,0.5,8.45,0.0,1.0,42.35,2.5,0.0
2,2023-01-08 22:26:32,2023-01-08 22:57:59,2.0,19.52,2.0,N,132,113,1,70.0,0.0,0.5,18.5,0.0,1.0,93.75,2.5,1.25
1,2023-01-26 11:08:40,2023-01-26 11:15:43,1.0,1.7,1.0,N,262,74,2,10.0,2.5,0.5,0.0,0.0,1.0,14.0,2.5,0.0
2,2023-01-11 11:24:41,2023-01-11 11:30:14,1.0,0.89,1.0,N,170,107,2,7.2,0.0,0.5,0.0,0.0,1.0,11.2,2.5,0.0
2,2023-01-15 01:18:50,2023-01-15 01:42:08,2.0,5.79,1.0,N,148,239,1,28.2,1.0,0.5,6.64,0.0,1.0,39.84,2.5,0.0
1,2023-01-29 16:42:37,2023-01-29 16:48:23,2.0,0.8,1.0,N,232,232,1,7.2,2.5,0.5,3.35,0.0,1.0,14.55,2.5,0.0
2,2023-01-14 01:56:26,2023-01-14 02:08:00,5.0,1.62,1.0,N,107,148,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0
